台区标识,日期,功率因数均值,功率因数标准差,三相不平衡均值,三相不平衡标准差,电压均值,电压标准差,电流均值,电流方差,负载率均值,负载率标准差,线损
1651044,20170829,93.14270833,6.448186838,0.583017708,0.254072739,235.2663194,4.204405468,0.182069444,0.158828858,0.038596875,0.030544854,-0.213191991
1651044,20170830,92.01354167,8.033881635,0.633780208,0.195105829,235.8090278,3.270159977,0.144892361,0.140819768,0.023750938,0.016159211,-0.559812623
1651044,20170831,94.98854167,6.68809374,0.69715625,0.241690839,235.3434028,4.017992289,0.106267361,0.092978014,0.018272813,0.014727237,-0.289863184
1651044,20170901,93.54791667,9.252915972,0.726566667,0.198606834,235.0114583,3.186327228,0.143427083,0.211237545,0.013749688,0.009801931,-0.489309764
1651044,20170902,93.27708333,6.554300102,0.628003125,0.245264475,234.6208333,3.445435285,0.0988125,0.098342759,0.02531375,0.023014918,-0.154101222
1651044,20170903,95.85208333,4.93330474,0.697866667,0.258632798,235.3732639,3.702947461,0.130072917,0.134392582,0.028060313,0.029356491,0.074078341
1651044,20170904,94.665625,5.873170427,0.615623958,0.24275597,235.0496528,3.802676308,0.182072917,0.187293307,0.046197188,0.045564933,0.314654356
1651044,20170905,92.13020833,7.466035871,0.563128125,0.227204283,234.9875,4.082446757,0.184625,0.197772188,0.04767,0.049349344,0.236694678
1651044,20170906,92.62708333,7.046667049,0.56551875,0.264450425,234.4802083,4.153385996,0.228829861,0.240920188,0.048070625,0.049517669,0.423819444
1651044,20170907,94.68125,5.778503852,0.606969792,0.259904786,234.0340278,4.587561129,0.235125,0.254616429,0.047475625,0.051514807,0.419428969
1651044,20170908,94.09479167,6.899401692,0.609845833,0.275512572,234.1611111,4.15336395,0.169055556,0.216934763,0.022423125,0.018898877,-0.135185185
1651044,20170909,93.20729167,7.186318668,0.648241667,0.303417416,234.2128472,4.01029165,0.114795139,0.107179349,0.0236075,0.021488054,-0.065067829
1651044,20170910,94.69583333,5.557838246,0.623904167,0.290155392,234.4309028,4.239715893,0.134430556,0.130514109,0.030206563,0.028490818,0.02280303
1651044,20170911,93.54583333,6.622167896,0.582608333,0.285030548,233.8416667,5.695161202,0.16271875,0.169657787,0.035499063,0.03810465,0.177571615
1651044,20170912,92.23958333,7.13146606,0.58970625,0.266687733,234.4784722,4.825815464,0.159868056,0.176524245,0.032561875,0.033787649,0.199476987
1651044,20170913,93.74166667,5.826621138,0.586023958,0.293332201,234.5642361,4.894569565,0.169732639,0.17360458,0.038300625,0.037176122,0.152559524
1651044,20170914,93.771875,6.642362518,0.610303125,0.280899055,234.8763889,4.321650696,0.200652778,0.199560918,0.043000625,0.041419352,0.282615385
1651044,20170915,94.59375,5.599475654,0.639905208,0.253227713,234.8482639,4.512005256,0.181548611,0.198843945,0.034166563,0.033454357,0.073958333
1651044,20170916,94.009375,6.307652068,0.646401042,0.267601114,234.0767361,4.921866647,0.151788194,0.17196259,0.02925125,0.034759679,0.027352472
1651044,20170917,94.31875,5.398520486,0.599405208,0.223347795,234.5381944,5.047654798,0.149354167,0.162175551,0.031140625,0.031401336,-0.064525994
1651044,20170918,93.69166667,5.680057707,0.60033125,0.254342148,233.8652778,5.389603153,0.150729167,0.155221223,0.03155,0.032000091,0.260729614
1651044,20170919,94.29479167,4.981222444,0.5638875,0.245910616,234.7868056,4.928942958,0.124965278,0.122226987,0.022717188,0.019686457,-0.314763374
